match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
StJedUO9,netherlands,local,6/8 (75%),Burba M.Forward,1,0.02,-,-,1,-,11
StJedUO9,netherlands,local,3/4 (75%),Upstas K.Defender,1,-,-,-,-,-,7
fTKmbjfc,netherlands,local,84/89 (94%),van Dijk V.Centre back,6,-,8.0,-,-,1,101
fTKmbjfc,netherlands,local,70/75 (93%),Timber J.Centre back,10,-,7.8,0/1 (0%),-,-,93
fTKmbjfc,netherlands,local,53/55 (96%),Geertruida L.Fullback,7,-,7.7,-,-,1,65
fTKmbjfc,netherlands,local,92/94 (98%),de Jong F.Midfielder,1,-,7.6,-,-,-,102
fTKmbjfc,netherlands,local,16/20 (80%),Depay M.Striker,11,0.38,7.6,1/2 (50%),2,5,39
fTKmbjfc,netherlands,local,58/58 (100%),van de Ven M.Fullback,6,-,7.4,2/2 (100%),-,1,74
fTKmbjfc,netherlands,local,15/19 (79%),Kaminski J.Attacking midfielder,4,0.29,7.3,-,2,5,37
fTKmbjfc,netherlands,local,33/38 (87%),Gakpo C.Winger,13,-,7.1,1/5 (20%),-,2,55
fTKmbjfc,netherlands,local,76/76 (100%),Kedziora T.Centre back,6,-,7.1,-,-,-,84
fTKmbjfc,netherlands,local,13/18 (72%),Lewandowski R.Striker,14,0.27,7.0,0/2 (0%),1,2,30
fTKmbjfc,netherlands,local,15/18 (83%),Verbruggen B.Goalkeeper,-,-,6.9,-,-,-,29
fTKmbjfc,netherlands,local,50/55 (91%),Zielinski P.Midfielder,3,0.15,6.9,-,2,2,65
fTKmbjfc,netherlands,local,18/24 (75%),Cash M.Wingback,9,0.04,6.8,0/2 (0%),1,2,45
fTKmbjfc,netherlands,local,29/33 (88%),Skoras M.Wingback,7,0.12,6.8,0/2 (0%),2,5,59
fTKmbjfc,netherlands,local,18/25 (72%),Grabara K.Goalkeeper,-,-,6.7,-,-,-,33
fTKmbjfc,netherlands,local,22/23 (96%),Malen D.Winger,7,0.41,6.7,1/4 (25%),4,8,44
fTKmbjfc,netherlands,local,62/69 (90%),Gravenberch R.Midfielder,3,0.11,6.6,-,2,4,84
fTKmbjfc,netherlands,local,37/38 (97%),van Hecke J. P.Defender,4,-,6.6,-,-,-,43
fTKmbjfc,netherlands,local,25/31 (81%),Kluivert J.Attacking midfielder,4,-,6.4,-,-,2,41
fTKmbjfc,netherlands,local,20/22 (91%),Kapustka B.Midfielder,3,0.03,6.3,1/1 (100%),1,2,28
fTKmbjfc,netherlands,local,8/8 (100%),Reijnders T.Midfielder,-,-,6.3,-,-,-,8
fTKmbjfc,netherlands,local,60/66 (91%),Kiwior J.Centre back,8,-,6.2,-,-,-,78
fTKmbjfc,netherlands,local,1/2 (50%),Szymanski S.Midfielder,1,-,6.2,-,-,-,4
fTKmbjfc,netherlands,local,38/41 (93%),Ziolkowski J.Centre back,8,-,6.2,1/1 (100%),-,1,56
fTKmbjfc,netherlands,local,21/26 (81%),Zalewski N.Attacking midfielder,6,0.68,5.8,0/1 (0%),3,2,35
fTKmbjfc,netherlands,local,-,Buksa A.Forward,-,-,-,-,-,-,-
fTKmbjfc,netherlands,local,1/1 (100%),Emegha E.Forward,2,-,-,1/1 (100%),-,-,3
fTKmbjfc,netherlands,local,2/3 (67%),Grosicki K.Forward,4,-,-,1/1 (100%),-,1,8
fTKmbjfc,netherlands,local,-,Rozga F.Midfielder,2,-,-,-,-,-,2
fTKmbjfc,netherlands,local,4/4 (100%),Schouten J.Midfielder,2,-,-,-,-,-,7
fTKmbjfc,netherlands,local,2/2 (100%),Wszolek P.Midfielder,1,-,-,1/1 (100%),-,-,6
vLj3jvyi,netherlands,local,34/38 (89%),Gakpo C.Winger,3,0.02,8.8,-,1,7,56
