match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
vmHdRwXp,inglaterra,local,13/18 (72%),Jurkovskis R.Wingback,-,-,6.5,-,-,-,30
vmHdRwXp,inglaterra,local,16/23 (70%),Rogers M.Midfielder,3,-,6.4,0/1 (0%),-,4,33
vmHdRwXp,inglaterra,local,2/4 (50%),Saveljevs A.Midfielder,3,-,6.4,0/1 (0%),-,1,6
vmHdRwXp,inglaterra,local,4/4 (100%),Daskevics E.Forward,2,0.05,6.3,-,1,1,9
vmHdRwXp,inglaterra,local,3/3 (100%),Regza M.Forward,-,-,6.3,-,-,-,5
vmHdRwXp,inglaterra,local,10/15 (67%),Varslavans R.Midfielder,5,0.15,6.1,1/2 (50%),1,1,25
vmHdRwXp,inglaterra,local,24/29 (83%),Veips R.Centre back,6,-,6.0,2/2 (100%),-,-,46
vmHdRwXp,inglaterra,local,40/44 (91%),Zelenkovs D.Midfielder,4,-,6.0,0/1 (0%),-,-,55
vmHdRwXp,inglaterra,local,14/20 (70%),Zviedris K.Goalkeeper,-,-,6.0,-,-,-,31
vmHdRwXp,inglaterra,local,39/43 (91%),Cernomordijs A.Centre back,6,-,5.9,-,-,-,61
vmHdRwXp,inglaterra,local,22/28 (79%),Balodis D.Centre back,5,-,5.8,-,-,-,37
vmHdRwXp,inglaterra,local,2/4 (50%),Gutkovskis V.Striker,12,0.01,5.7,1/1 (100%),1,2,20
vmHdRwXp,inglaterra,local,12/18 (67%),Ikaunieks J.Midfielder,8,0.05,5.7,1/1 (100%),1,1,40
vmHdRwXp,inglaterra,local,12/13 (92%),Tonisevs M.Defender,4,0.04,5.7,-,1,1,20
vmHdRwXp,inglaterra,local,16/20 (80%),Vapne L.Midfielder,7,-,5.4,0/2 (0%),-,-,30
vmHdRwXp,inglaterra,local,1/1 (100%),Grabovskis K.Forward,-,0.12,-,-,1,1,2
6kZfUL5F,inglaterra,local,43/45 (96%),Rice D.Midfielder,4,0.47,9.1,-,7,5,62
6kZfUL5F,inglaterra,local,72/74 (97%),Guehi M.Centre back,5,1.23,8.6,-,3,4,83
6kZfUL5F,inglaterra,local,88/91 (97%),Konsa E.Centre back,3,0.36,8.5,-,1,1,94
6kZfUL5F,inglaterra,local,22/27 (81%),Rogers M.Attacking midfielder,9,-,8.3,3/4 (75%),-,3,40
6kZfUL5F,inglaterra,local,75/84 (89%),Anderson E.Midfielder,11,0.04,7.7,-,1,-,93
6kZfUL5F,inglaterra,local,18/22 (82%),Kane H.Striker,7,0.38,7.7,2/2 (100%),2,3,31
6kZfUL5F,inglaterra,local,41/43 (95%),Livramento V.Fullback,6,-,7.4,1/1 (100%),-,2,54
6kZfUL5F,inglaterra,local,20/22 (91%),Madueke N.Winger,5,0.58,7.4,1/1 (100%),2,3,36
6kZfUL5F,inglaterra,local,18/20 (90%),Rashford M.Forward,4,0.86,7.4,1/3 (33%),2,7,28
6kZfUL5F,inglaterra,local,59/64 (92%),James R.Fullback,4,0.14,7.2,-,1,1,81
6kZfUL5F,inglaterra,local,20/21 (95%),Gordon A.Winger,9,0.14,7.0,2/4 (50%),4,5,35
6kZfUL5F,inglaterra,local,22/34 (65%),Pickford J.Goalkeeper,-,-,6.8,-,-,-,37
6kZfUL5F,inglaterra,local,9/9 (100%),Bowen J.Forward,4,0.04,6.7,0/1 (0%),1,2,17
6kZfUL5F,inglaterra,local,3/3 (100%),Watkins O.Forward,2,-,6.7,-,-,1,4
6kZfUL5F,inglaterra,local,11/14 (79%),Spence D.Defender,-,-,6.6,-,-,-,19
6kZfUL5F,inglaterra,local,24/26 (92%),Maksimovic N.Midfielder,2,-,6.4,-,-,-,34
6kZfUL5F,inglaterra,local,1/1 (100%),Veljkovic M.Defender,1,-,6.4,-,-,-,2
6kZfUL5F,inglaterra,local,8/9 (89%),Kostic F.Midfielder,1,-,6.3,-,-,-,15
6kZfUL5F,inglaterra,local,3/7 (43%),Samardzic L.Midfielder,3,-,6.2,-,-,1,10
6kZfUL5F,inglaterra,local,16/19 (84%),Zivkovic A.Attacking midfielder,7,0.04,6.2,-,1,2,34
6kZfUL5F,inglaterra,local,3/5 (60%),Birmancevic V.Wingback,4,-,6.1,0/1 (0%),-,-,10
6kZfUL5F,inglaterra,local,30/33 (91%),Lukic S.Midfielder,5,-,6.1,-,-,-,38
6kZfUL5F,inglaterra,local,4/6 (67%),Mitrovic A.Forward,4,-,6.0,-,-,-,11
6kZfUL5F,inglaterra,local,16/26 (62%),Petrovic D.Goalkeeper,-,-,6.0,-,-,-,35
6kZfUL5F,inglaterra,local,8/11 (73%),Nedeljkovic K.Wingback,2,-,5.9,-,-,-,17
6kZfUL5F,inglaterra,local,8/14 (57%),Vlahovic D.Striker,9,0.04,5.9,-,1,-,24
6kZfUL5F,inglaterra,local,16/18 (89%),Ilic I.Attacking midfielder,6,-,5.8,-,-,-,20
6kZfUL5F,inglaterra,local,2/2 (100%),Jovic L.Forward,7,-,5.8,0/2 (0%),-,-,10
6kZfUL5F,inglaterra,local,22/24 (92%),Pavlovic S.Centre back,9,0.01,5.3,1/2 (50%),1,1,47
6kZfUL5F,inglaterra,local,23/28 (82%),Milenkovic N.Centre back,4,-,4.8,-,-,-,38
6kZfUL5F,inglaterra,local,20/24 (83%),Erakovic S.Centre back,9,-,3.9,-,-,-,34
6kZfUL5F,inglaterra,local,15/15 (100%),Henderson J.Midfielder,-,-,-,-,-,-,16
tCFjI0fU,inglaterra,local,75/82 (91%),James R.Fullback,6,-,8.4,-,-,-,100
tCFjI0fU,inglaterra,local,107/114 (94%),Anderson E.Midfielder,14,0.78,8.2,-,1,2,127
tCFjI0fU,inglaterra,local,126/135 (93%),Burn D.Centre back,9,-,8.1,-,-,3,139
tCFjI0fU,inglaterra,local,47/51 (92%),Rice D.Midfielder,5,0.05,8.0,0/1 (0%),1,4,63
tCFjI0fU,inglaterra,local,109/122 (89%),Guehi M.Centre back,5,-,7.5,1/1 (100%),-,-,127
tCFjI0fU,inglaterra,local,46/53 (87%),Madueke N.Winger,12,0.53,7.3,2/5 (40%),2,9,75
tCFjI0fU,inglaterra,local,16/41 (39%),Alvarez I.Goalkeeper,1,-,6.9,-,-,-,51
tCFjI0fU,inglaterra,local,20/22 (91%),Eze E.Attacking midfielder,5,0.34,6.9,0/1 (0%),3,7,38
tCFjI0fU,inglaterra,local,2/8 (25%),Kane H.Striker,4,0.04,6.9,0/1 (0%),2,9,12
tCFjI0fU,inglaterra,local,53/56 (95%),Lewis-Skelly M.Fullback,8,-,6.9,0/2 (0%),-,1,73
tCFjI0fU,inglaterra,local,24/31 (77%),Rashford M.Winger,7,0.11,6.9,2/3 (67%),1,4,44
tCFjI0fU,inglaterra,local,20/23 (87%),Gibbs-White M.Midfielder,1,0.12,6.8,-,1,1,25
tCFjI0fU,inglaterra,local,20/21 (95%),Gordon A.Forward,3,-,6.8,0/1 (0%),-,2,28
tCFjI0fU,inglaterra,local,21/23 (91%),Livramento V.Defender,1,-,6.7,-,-,1,26
tCFjI0fU,inglaterra,local,16/19 (84%),Pickford J.Goalkeeper,-,-,6.7,-,-,-,24
tCFjI0fU,inglaterra,local,6/9 (67%),Rogers M.Midfielder,4,-,6.7,0/1 (0%),-,3,17
tCFjI0fU,inglaterra,local,12/22 (55%),Oliveira I.Centre back,7,0.08,6.6,-,1,2,42
tCFjI0fU,inglaterra,local,9/14 (64%),Borra Font B.Wingback,9,-,6.5,2/2 (100%),-,-,35
tCFjI0fU,inglaterra,local,18/18 (100%),Konsa E.Defender,-,-,6.5,-,-,-,19
tCFjI0fU,inglaterra,local,4/7 (57%),Guillen J.Defender,6,-,6.4,-,-,-,17
tCFjI0fU,inglaterra,local,8/15 (53%),Llovera M.Centre back,3,-,6.4,-,-,-,29
tCFjI0fU,inglaterra,local,0/2 (0%),Lopez G.Forward,4,-,6.2,0/1 (0%),-,-,8
tCFjI0fU,inglaterra,local,8/12 (67%),Cervos J.Midfielder,9,-,6.0,0/2 (0%),-,-,23
tCFjI0fU,inglaterra,local,8/13 (62%),Babot P.Midfielder,5,-,5.8,-,-,-,18
tCFjI0fU,inglaterra,local,3/3 (100%),CucuStriker,9,0.01,5.8,0/1 (0%),1,1,11
tCFjI0fU,inglaterra,local,7/11 (64%),San Nicolas M.Wingback,2,-,5.7,-,-,-,27
tCFjI0fU,inglaterra,local,9/11 (82%),Rodrigo Tapia A.Midfielder,18,-,5.6,3/6 (50%),-,-,29
tCFjI0fU,inglaterra,local,1/6 (17%),Vales M.Midfielder,6,-,5.6,-,-,1,13
tCFjI0fU,inglaterra,local,8/8 (100%),Garcia C.Centre back,2,-,4.9,-,-,-,20
tCFjI0fU,inglaterra,local,-,DacuMidfielder,-,-,-,-,-,-,2
